================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   i   i   i   i   i   i   o   o   o   o   o   o   r 
 in 1e-09 sec | l   s   n   n   n   n   n   n   u   u   u   u   u   u   a 
              | k   t   v   v   v   v   v   v   t   t   t   t   t   t   n 
              |         _   _   _   _   _   _   p   p   p   p   p   p   d 
              |         i   i   i   i   i   i   u   u   u   u   u   u   o 
              |         n   n   n   n   n   n   t   t   t   t   t   t   m 
              |         p   p   p   p   p   p   _   _   _   _   _   _   _ 
              |         u   u   u   u   u   u   5   5   5   5   5   5   s 
              |         t   t   t   t   t   t   _   _   _   _   _   _   e 
              |         s   s   s   s   s   s   0   0   0   0   0   0   e 
              |         _   _   _   _   _   _   _   _   _   _   _   _   d 
              |         5   5   5   5   5   5   5   4   3   2   1   0     
              |         _   _   _   _   _   _                             
              |         0   0   0   0   0   0                             
              |         _   _   _   _   _   _                             
              |         5   4   3   2   1   0                             
================================================================================
       5760.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5780.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5800.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5820.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5840.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5860.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5880.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5900.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5920.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5940.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5960.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       5980.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6000.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6020.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6040.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6060.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6080.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6100.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6120.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6140.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6160.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6180.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6200.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6220.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6240.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6260.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6280.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6300.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6320.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6340.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6360.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6380.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6400.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6420.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6440.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6460.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6480.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6500.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6520.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6540.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6560.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6580.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6600.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6620.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6640.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6660.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6680.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6700.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6720.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6740.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6760.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6780.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6800.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6820.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6840.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6860.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6880.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6900.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6920.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6940.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6960.0 | 1   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       6980.0 | 0   0   1   0   0   0   0   0   0   0   0   0   0   0   1
       7000.0 | 1   0   0   1   0   0   0   0   0   0   0   0   0   0   1
       7020.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   0   1
       7040.0 | 1   0   0   1   0   0   0   0   0   0   0   0   0   0   1
       7060.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   0   1
       7080.0 | 1   0   0   1   0   0   0   0   0   0   0   0   0   0   1
       7100.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   0   1
       7120.0 | 1   0   0   1   0   0   0   0   0   0   0   0   0   0   1
       7140.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   0   1
       7160.0 | 1   0   0   1   0   0   0   0   0   0   0   0   0   0   1
       7180.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   0   1
       7200.0 | 1   0   0   1   0   0   0   0   0   0   0   0   0   0   1
       7200.8 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7220.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7240.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7260.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7280.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7300.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7320.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7340.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7360.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7380.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7400.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7420.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7440.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7460.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7480.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7500.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7520.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7540.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7560.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7580.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7600.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7620.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7640.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7660.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7680.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7700.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7720.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7740.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7760.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7780.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7800.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7820.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7840.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7860.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7880.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7900.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7920.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7940.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7960.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       7980.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8000.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8020.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8040.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8060.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8080.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8100.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8120.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8140.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8160.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8180.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8200.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8220.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8240.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8260.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8280.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8300.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8320.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8340.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8360.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8380.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8400.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8420.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8440.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8460.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8480.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8500.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8520.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8540.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8560.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8580.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8600.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8620.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8640.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8660.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8680.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8700.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8720.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8740.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8760.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8780.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8800.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8820.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8840.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8860.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8880.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8900.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8920.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8940.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8960.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       8980.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9000.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9020.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9040.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9060.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9080.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9100.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9120.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9140.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9160.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9180.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9200.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9220.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9240.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9260.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9280.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9300.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9320.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9340.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9360.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9380.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9400.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9420.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9440.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9460.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9480.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9500.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9520.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9540.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9560.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9580.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9600.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9620.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9640.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9660.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9680.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9700.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9720.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9740.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9760.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9780.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9800.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9820.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9840.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9860.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9880.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9900.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9920.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9940.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9960.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
       9980.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10000.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10020.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10040.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10060.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10080.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10100.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10120.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10140.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10160.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10180.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10200.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10220.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10240.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10260.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10280.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10300.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10320.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10340.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10360.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10380.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10400.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10420.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10440.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10460.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10480.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10500.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10520.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10540.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10560.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10580.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10600.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10620.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10640.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10660.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10680.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10700.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10720.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10740.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10760.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10780.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10800.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10820.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10840.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10860.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10880.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10900.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10920.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10940.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10960.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      10980.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11000.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11020.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11040.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11060.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11080.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11100.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11120.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11140.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11160.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11180.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11200.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11220.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11240.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11260.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11280.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11300.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11320.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11340.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11360.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11380.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11400.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11420.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11440.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11460.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11480.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11500.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11520.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11540.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11560.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11580.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11600.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11620.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11640.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11660.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11680.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11700.0 | 0   0   0   1   0   0   0   0   1   0   1   1   1   1   1
      11720.0 | 1   0   0   1   0   0   0   0   1   0   1   1   1   1   1
