====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   l   l   l   l   l   l   l   l   l   l   l   l   l   n   n   n   n   c   c   c   d   d   d   c   c   d   d   
      39200.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      39280.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      39360.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      39440.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      39520.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      39600.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      39680.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      39683.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      39683.6 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      39760.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      39840.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      39842.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      39842.2 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      39842.6 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0  
      39842.8 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      39842.9 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      39843.1 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      39843.3 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      39843.4 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      39844.9 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      39920.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40000.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40002.9 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40003.4 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40004.7 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40005.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40080.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40160.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40163.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40163.2 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40164.9 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40165.2 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40240.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40320.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40323.4 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40324.8 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40400.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40480.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40483.3 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40483.9 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40486.1 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40486.4 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40560.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40640.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40641.2 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40643.2 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40644.9 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40645.2 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40720.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40800.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40803.4 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40804.8 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40880.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40960.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40963.3 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40963.9 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40966.1 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      40966.4 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41040.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41120.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41123.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41123.2 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41124.9 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41125.2 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41200.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41280.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41283.4 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41284.8 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41360.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41440.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41443.3 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41443.9 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41446.1 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41520.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41600.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41600.9 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41603.3 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41603.5 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41607.9 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41680.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41760.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41762.8 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      41840.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      41920.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      41922.4 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      41923.8 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      42000.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      42080.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      42160.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      42240.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      42320.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      42400.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      42480.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      42560.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      42562.9 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      42565.4 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      42568.8 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      42640.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      42720.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      42800.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      42880.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      42960.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      43040.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      43120.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      43200.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      43280.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      43360.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      43362.1 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      43440.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      43520.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      43523.1 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0  
      43523.5 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      43600.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      43680.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      43760.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      43840.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      43920.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      44000.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      44080.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      44160.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      44240.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      44320.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      44323.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      44323.6 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44400.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44480.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44482.6 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0  
      44482.7 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0  
      44482.8 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44484.3 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44484.9 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44560.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44640.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44642.9 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44643.4 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44644.7 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44645.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44720.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44800.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44803.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44803.2 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44804.9 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44805.2 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44880.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44960.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44963.4 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      44964.8 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45040.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45120.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45123.3 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45123.9 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45126.1 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45126.4 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45200.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45280.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45281.2 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45283.2 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45284.9 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45285.2 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45360.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45440.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45443.4 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45444.8 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45520.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45600.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45603.3 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45603.9 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45606.1 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45606.4 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45680.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45760.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45763.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45763.2 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45764.9 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45765.2 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45840.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45920.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45923.4 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      45924.8 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46000.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46080.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46083.3 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46083.9 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46086.1 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46160.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46240.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46240.9 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46243.3 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46243.5 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46247.9 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46320.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46400.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46402.8 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      46480.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      46560.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      46562.4 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      46563.8 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      46640.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      46720.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      46800.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      46880.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      46960.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      47040.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      47120.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      47200.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      47202.9 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
